term,E,P,A,E2,P2,A2
inspect,-0.09,0.86,-0.33,-0.09,0.86,-0.33
inspire,3.37,3.30,0.39,3.37,3.30,0.39
instruct,2.03,2.32,0.49,2.03,2.32,0.49
insult,-2.60,-0.06,1.40,-2.60,-0.06,1.40
interest,2.06,1.94,0.57,2.06,1.94,0.57
interfere_with,-1.36,0.76,0.99,-1.36,0.76,0.99
interrogate,-0.70,1.84,1.05,-0.70,1.84,1.05
interrupt,-1.99,0.39,1.84,-1.99,0.39,1.84
interview,1.32,1.76,0.34,1.32,1.76,0.34
intimidate,-1.80,1.40,1.11,-1.80,1.40,1.11
intruder,-2.50,0.83,0.41,-2.50,0.83,0.41
invite,2.42,1.61,0.38,2.42,1.61,0.38
irritate,-2.41,0.39,1.62,-2.41,0.39,1.62
isolate,-2.74,1.44,-1.48,-2.74,1.44,-1.48
jail,-0.38,2.40,0.96,-0.38,2.40,0.96
jeer,-2.22,0.11,1.72,-2.22,0.11,1.72
jest,-0.44,0.28,1.48,-0.44,0.28,1.48
join,1.72,1.66,0.53,1.72,1.66,0.53
joke_with,2.31,1.25,1.88,2.31,1.25,1.88
jolt,-1.07,1.07,1.78,-1.07,1.07,1.78
josh,0.15,0.39,1.12,0.15,0.39,1.12
jostle,-1.01,0.69,1.51,-1.01,0.69,1.51
judge,-1.83,0.71,0.07,-1.83,0.71,0.07
kick,-2.49,0.57,1.88,-2.49,0.57,1.88
kid,0.22,0.36,1.25,0.22,0.36,1.25
kill,-4.26,1.95,-0.11,-4.26,1.95,-0.11
kiss,2.48,2.33,0.10,2.48,2.33,0.10
knife,-3.67,1.62,2.08,-3.67,1.62,2.08
knock_out,-2.26,2.32,2.37,-2.26,2.32,2.37
kowtow_to,-1.05,-1.14,0.48,-1.05,-1.14,0.48
laud,1.19,1.10,1.06,1.19,1.10,1.06
laugh_at,-0.56,0.85,1.99,-0.56,0.85,1.99
laugh_with,3.12,2.36,2.43,3.12,2.36,2.43
lay_off_from_a_job,-1.93,1.85,0.28,-1.93,1.85,0.28
lead,2.02,2.59,0.73,2.02,2.59,0.73
leave,-1.84,1.45,-0.20,-1.84,1.45,-0.20
lecture,0.07,1.24,0.87,0.07,1.24,0.87
leer_at,-1.29,-0.09,-0.61,-1.29,-0.09,-0.61
lend_money_to,1.65,1.59,-0.18,1.65,1.59,-0.18
liberate,2.85,2.77,1.15,2.85,2.77,1.15
lie_to,-2.52,0.73,-0.19,-2.52,0.73,-0.19
lift,1.78,2.42,1.17,1.78,2.42,1.17
like,2.61,1.84,0.39,2.61,1.84,0.39
listen_to,2.92,2.14,-1.61,2.92,2.14,-1.61
loathe,-2.31,0.05,-0.06,-2.31,0.05,-0.06
look_at,0.84,0.74,-0.39,0.84,0.74,-0.39
love,3.36,3.11,0.65,3.36,3.11,0.65
lure,-1.06,1.51,-0.83,-1.06,1.51,-0.83
lust_for,0.04,1.15,0.63,0.04,1.15,0.63
make_fun_of,-2.89,0.35,1.67,-2.89,0.35,1.67
make_love_to,3.14,2.79,1.08,3.14,2.79,1.08
malign,-1.87,0.67,0.52,-1.87,0.67,0.52
manipulate,-2.57,1.65,0.72,-2.57,1.65,0.72
marry,2.52,2.28,0.21,2.52,2.28,0.21
massage,2.27,0.92,-1.66,2.27,0.92,-1.66
medicate,1.37,2.07,-0.43,1.37,2.07,-0.43
menace,-2.51,1.00,1.06,-2.51,1.00,1.06
mimic,-0.94,-0.50,1.01,-0.94,-0.50,1.01
misinform,-2.36,0.59,0.42,-2.36,0.59,0.42
misjudge,-2.16,0.14,0.52,-2.16,0.14,0.52
mislead,-2.38,0.64,0.24,-2.38,0.64,0.24
miss,-0.05,0.94,-1.38,-0.05,0.94,-1.38
misunderstand,-1.56,-0.51,-0.22,-1.56,-0.51,-0.22
mock,-2.48,-0.01,1.60,-2.48,-0.01,1.60
molest,-4.01,1.20,0.46,-4.01,1.20,0.46
monitor,-0.03,1.34,-1.17,-0.03,1.34,-1.17
mortify,-2.64,1.52,1.30,-2.64,1.52,1.30
mother,2.79,2.84,0.18,2.79,2.84,0.18
mouth_off_to,-1.98,0.54,2.19,-1.98,0.54,2.19
mug,-3.32,0.89,1.52,-3.32,0.89,1.52
mumble_to,-0.92,-1.70,-2.07,-0.92,-1.70,-2.07
murder,-3.90,2.12,1.08,-3.90,2.12,1.08
murmur_to,-0.25,-0.81,-2.17,-0.25,-0.81,-2.17
nag,-1.92,-0.29,2.03,-1.92,-0.29,2.03
need,0.60,0.07,-0.11,0.60,0.07,-0.11
needle,-1.70,-0.03,0.32,-1.70,-0.03,0.32
neglect,-3.13,0.69,-1.33,-3.13,0.69,-1.33
negotiate_with,2.15,2.31,1.11,2.15,2.31,1.11
notice,2.09,1.49,-0.13,2.09,1.49,-0.13
nudge,-0.04,0.10,0.10,-0.04,0.10,0.10
nuzzle,1.34,0.29,-1.12,1.34,0.29,-1.12
obey,0.91,-0.20,-0.90,0.91,-0.20,-0.90
observe,0.74,0.64,-1.74,0.74,0.64,-1.74
obstruct,-1.66,1.24,0.92,-1.66,1.24,0.92
offend,-2.34,0.76,1.11,-2.34,0.76,1.11
ogle,-0.81,-0.13,-0.14,-0.81,-0.13,-0.14
oppose,-0.13,1.56,0.99,-0.13,1.56,0.99
oppress,-3.23,1.91,0.29,-3.23,1.91,0.29
order,-0.82,1.83,1.46,-0.82,1.83,1.46
ostracize,-2.73,1.09,0.53,-2.73,1.09,0.53
outdo,0.61,1.66,1.19,0.61,1.66,1.19
outwit,1.08,1.92,1.05,1.08,1.92,1.05
overcharge,-2.77,0.62,0.27,-2.77,0.62,0.27
overlook,-1.95,0.18,-0.65,-1.95,0.18,-0.65
overwhelm,-1.02,1.59,1.81,-1.02,1.59,1.81
overwork,-2.10,1.21,1.16,-2.10,1.21,1.16
pacify,0.89,1.17,-0.84,0.89,1.17,-0.84
pamper,1.18,1.25,-0.10,1.18,1.25,-0.10
parody,-0.01,0.80,1.46,-0.01,0.80,1.46
patronize,-1.77,0.31,0.91,-1.77,0.31,0.91
pay,1.95,1.84,0.09,1.95,1.84,0.09
pay_for,1.93,1.77,-0.15,1.93,1.77,-0.15
peek_at,-1.32,-0.47,-0.88,-1.32,-0.47,-0.88
peep_at,-2.19,-1.09,-1.50,-2.19,-1.09,-1.50
penalize,-0.49,1.79,0.41,-0.49,1.79,0.41
persecute,-1.68,1.57,0.88,-1.68,1.57,0.88
persuade,0.82,1.96,0.63,0.82,1.96,0.63
pester,-2.15,0.21,1.72,-2.15,0.21,1.72
pet,0.28,0.28,-0.59,0.28,0.28,-0.59
photograph,1.15,1.03,-0.08,1.15,1.03,-0.08
pity,-0.44,-0.08,-1.10,-0.44,-0.08,-1.10
placate,0.65,0.86,-0.93,0.65,0.86,-0.93
play_with,2.54,1.64,1.68,2.54,1.64,1.68
please,2.39,1.68,0.16,2.39,1.68,0.16
plot_against,-2.49,0.70,-0.82,-2.49,0.70,-0.82
poison,-3.60,1.48,-0.75,-3.60,1.48,-0.75
pooh_pooh,-1.37,-0.21,0.47,-1.37,-0.21,0.47
praise,2.59,2.04,0.84,2.59,2.04,0.84
pray_for,2.93,2.16,-1.81,2.93,2.16,-1.81
pray_with,2.04,1.90,-1.32,2.04,1.90,-1.32
preach_to,0.33,1.09,1.58,0.33,1.09,1.58
prod,-0.79,0.12,0.52,-0.79,0.12,0.52
prompt,0.75,0.83,0.22,0.75,0.83,0.22
propose_marriage_to,2.82,2.96,0.94,2.82,2.96,0.94
prosecute,-0.43,2.66,1.21,-0.43,2.66,1.21
proselytize,-0.94,0.16,0.16,-0.94,0.16,0.16
protect,3.23,2.95,0.64,3.23,2.95,0.64
provoke,-1.84,1.12,1.48,-1.84,1.12,1.48
psychoanalyze,0.10,1.27,-0.60,0.10,1.27,-0.60
pull_away_from,-0.81,0.93,-0.60,-0.81,0.93,-0.60
punch,-2.55,1.34,2.39,-2.55,1.34,2.39
punish,-0.95,1.39,0.85,-0.95,1.39,0.85
pursue,1.21,1.36,0.96,1.21,1.36,0.96
push,-1.83,1.04,1.50,-1.83,1.04,1.50
quarrel_with,-1.61,0.26,1.76,-1.61,0.26,1.76
query,0.43,0.55,0.17,0.43,0.55,0.17
question,0.56,1.25,0.52,0.56,1.25,0.52
quibble_with,-0.89,-0.23,0.95,-0.89,-0.23,0.95
quiet,-0.35,1.32,-0.36,-0.35,1.32,-0.36
quiz,0.61,0.86,0.34,0.61,0.86,0.34
raise_the_pay_of,2.55,2.29,0.39,2.55,2.29,0.39
rant_at,-1.66,0.18,2.19,-1.66,0.18,2.19
rape,-4.18,0.48,1.35,-4.18,0.48,1.35
ravish,0.24,1.24,1.42,0.24,1.24,1.42
reason_with,2.60,2.17,-0.44,2.60,2.17,-0.44
reassure,2.85,2.23,-0.24,2.85,2.23,-0.24
rebel_against,-0.06,1.84,1.93,-0.06,1.84,1.93
rebuff,-0.59,1.01,0.88,-0.59,1.01,0.88
rebuke,-0.50,1.28,1.15,-0.50,1.28,1.15
reform,0.69,1.72,-0.04,0.69,1.72,-0.04
refuse,-0.87,1.28,0.64,-0.87,1.28,0.64
rehabilitate,3.03,2.57,-0.68,3.03,2.57,-0.68
reject,-1.33,0.96,0.30,-1.33,0.96,0.30
relish,0.84,0.91,0.35,0.84,0.91,0.35
remember,2.26,1.82,-0.10,2.26,1.82,-0.10
remind,1.71,1.31,0.24,1.71,1.31,0.24
renounce,-1.46,1.44,0.72,-1.46,1.44,0.72
repel,-1.44,1.34,0.67,-1.44,1.34,0.67
reply_to,2.36,1.41,0.76,2.36,1.41,0.76
reprimand,-0.40,1.63,1.12,-0.40,1.63,1.12
reproach,-0.67,0.58,0.65,-0.67,0.58,0.65
repulse,-2.35,0.75,0.52,-2.35,0.75,0.52
request_something_from,0.30,0.25,-0.37,0.30,0.25,-0.37
rescue,3.45,3.29,1.91,3.45,3.29,1.91
respect,3.35,2.50,-0.60,3.35,2.50,-0.60
restrain,-1.10,1.66,1.68,-1.10,1.66,1.68
retaliate_against,-1.20,0.90,1.60,-1.20,0.90,1.60
revere,1.61,1.42,-0.66,1.61,1.42,-0.66
reward,2.53,2.02,0.68,2.53,2.02,0.68
rib,-1.15,0.04,0.90,-1.15,0.04,0.90
ridicule,-3.00,-0.05,1.40,-3.00,-0.05,1.40
rob,-3.58,0.76,2.06,-3.58,0.76,2.06
rouse,0.63,1.14,1.35,0.63,1.14,1.35
save,3.53,3.39,1.81,3.53,3.39,1.81
say_farewell_to,-0.28,0.76,-0.89,-0.28,0.76,-0.89
scare,-1.41,1.07,1.70,-1.41,1.07,1.70
scheming,-2.13,0.84,-0.50,-2.13,0.84,-0.50
scoff_at,-2.00,-0.12,0.75,-2.00,-0.12,0.75
scold,-1.34,1.48,1.52,-1.34,1.48,1.52
scorn,-1.83,1.06,1.12,-1.83,1.06,1.12
scowl_at,-1.89,0.30,-0.08,-1.89,0.30,-0.08
scratch,-1.41,0.21,0.89,-1.41,0.21,0.89
scream_at,-2.37,1.36,3.30,-2.37,1.36,3.30
scrutinize,-1.70,0.00,0.50,-1.70,0.00,0.50
search,-0.23,0.74,0.56,-0.23,0.74,0.56
seduce,0.57,1.81,-0.30,0.57,1.81,-0.30
seek_advice_from,2.19,1.26,-0.53,2.19,1.26,-0.53
seize,-1.95,1.89,1.66,-1.95,1.89,1.66
sell_something_to,0.91,1.16,1.03,0.91,1.16,1.03
sentence,-0.35,2.63,0.20,-0.35,2.63,0.20
serenade,2.24,1.60,0.00,2.24,1.60,0.00
serve,1.49,0.78,-0.19,1.49,0.78,-0.19
sexually_arouse,2.28,2.34,0.96,2.28,2.34,0.96
sexually_proposition,-1.12,1.00,0.50,-1.12,1.00,0.50
shaft,-2.56,0.73,0.89,-2.56,0.73,0.89
shake_hands_with,2.23,1.68,0.27,2.23,1.68,0.27
shame,-2.62,0.61,0.67,-2.62,0.61,0.67
share_something_with,2.53,2.10,0.01,2.53,2.10,0.01
shield,2.37,2.78,1.11,2.37,2.78,1.11
shock,-0.69,1.44,1.79,-0.69,1.44,1.79
shoot,-3.60,1.34,3.07,-3.60,1.34,3.07
short_change,-2.50,-0.31,0.00,-2.50,-0.31,0.00
shout_at,-1.38,1.37,2.69,-1.38,1.37,2.69
shove,-2.51,1.01,1.72,-2.51,1.01,1.72
show_something_to,1.10,0.94,0.02,1.10,0.94,0.02
shun,-2.29,0.75,-0.26,-2.29,0.75,-0.26
shush,-0.89,0.57,0.56,-0.89,0.57,0.56
sicken,-2.76,0.82,0.09,-2.76,0.82,0.09
silence,-1.02,1.32,0.49,-1.02,1.32,0.49
sing_to,2.28,1.74,1.66,2.28,1.74,1.66
sit_next_to,1.08,0.60,-0.39,1.08,0.60,-0.39
slander,-3.18,0.69,1.40,-3.18,0.69,1.40
slap,-2.50,0.92,2.43,-2.50,0.92,2.43
slay,-3.26,1.87,1.28,-3.26,1.87,1.28
sleep_with,1.15,2.21,1.25,1.15,2.21,1.25
slug,-2.72,1.06,1.45,-2.72,1.06,1.45
smile_at,3.16,2.60,-0.40,3.16,2.60,-0.40
smirk_at,-0.76,0.35,-0.45,-0.76,0.35,-0.45
smother,-2.09,0.88,0.28,-2.09,0.88,0.28
snarl_at,-2.48,0.19,1.39,-2.48,0.19,1.39
sneer_at,-2.10,-0.22,0.13,-2.10,-0.22,0.13
snub,-1.83,0.00,-0.09,-1.83,0.00,-0.09
snuggle,2.73,1.30,-1.95,2.73,1.30,-1.95
sock,-2.65,0.94,2.22,-2.65,0.94,2.22
someone_is,0.22,-0.41,-0.85,0.22,-0.41,-0.85
soothe,2.86,1.96,-1.56,2.86,1.96,-1.56
speak_to,2.31,1.52,1.69,2.31,1.52,1.69
spoil,-0.69,1.03,0.67,-0.69,1.03,0.67
spurn,-1.53,0.30,0.83,-1.53,0.30,0.83
stab,-3.64,1.89,2.28,-3.64,1.89,2.28
stall,-0.91,0.07,-0.18,-0.91,0.07,-0.18
stammer_at,-1.00,-0.73,0.58,-1.00,-0.73,0.58
stare_at,-0.86,0.32,-1.41,-0.86,0.32,-1.41
stare_down,-1.59,1.28,-1.29,-1.59,1.28,-1.29
startle,-0.83,0.92,2.07,-0.83,0.92,2.07
steal_from,-3.26,0.41,0.09,-3.26,0.41,0.09
stop,0.24,1.81,1.24,0.24,1.81,1.24
strangle,-3.97,2.09,1.21,-3.97,2.09,1.21
strip,-1.55,1.35,0.97,-1.55,1.35,0.97
stroke,1.21,0.66,-1.03,1.21,0.66,-1.03
study,1.01,1.00,-1.29,1.01,1.00,-1.29
stun,-0.34,1.84,1.75,-0.34,1.84,1.75
stymie,-0.82,0.65,0.26,-0.82,0.65,0.26
subdue,-0.80,1.49,0.73,-0.80,1.49,0.73
submit_to,-1.23,-1.26,-1.19,-1.23,-1.26,-1.19
suck_up_to,-1.52,-1.37,0.47,-1.52,-1.37,0.47
sue,-1.02,1.49,0.94,-1.02,1.49,0.94
suggest_something_to,1.20,1.33,0.36,1.20,1.33,0.36
summon,0.03,1.82,0.53,0.03,1.82,0.53
supervise,1.00,2.16,-0.16,1.00,2.16,-0.16
support,3.01,2.68,0.22,3.01,2.68,0.22
surprise,1.99,1.90,1.77,1.99,1.90,1.77
suspect,-0.86,0.54,-0.61,-0.86,0.54,-0.61
sweet_talk,0.95,1.79,0.35,0.95,1.79,0.35
swindle,-2.69,0.36,0.65,-2.69,0.36,0.65
sympathize_with,2.66,2.04,-0.71,2.66,2.04,-0.71
tackle,-0.78,2.11,2.84,-0.78,2.11,2.84
talk_down_to,-2.85,-0.38,1.16,-2.85,-0.38,1.16
talk_to,2.20,1.73,0.74,2.20,1.73,0.74
tantalize,-0.91,0.60,0.56,-0.91,0.60,0.56
taunt,-2.34,0.18,1.47,-2.34,0.18,1.47
teach,2.87,2.84,0.20,2.87,2.84,0.20
tease,-2.15,0.14,1.22,-2.15,0.14,1.22
tell_off,-1.05,0.96,2.03,-1.05,0.96,2.03
tempt,-1.32,1.07,0.12,-1.32,1.07,0.12
terrorize,-3.66,1.80,1.45,-3.66,1.80,1.45
test,0.36,1.21,0.12,0.36,1.21,0.12
thank,3.26,2.62,0.15,3.26,2.62,0.15
threaten,-3.18,1.29,1.68,-3.18,1.29,1.68
thrill,2.57,2.16,2.86,2.57,2.16,2.86
tickle,0.88,1.32,2.27,0.88,1.32,2.27
tip,2.98,2.12,-0.06,2.98,2.12,-0.06
titillate,0.66,1.27,1.27,0.66,1.27,1.27
toast,2.05,1.42,1.43,2.05,1.42,1.43
torment,-3.28,1.08,0.56,-3.28,1.08,0.56
torture,-3.73,1.66,1.08,-3.73,1.66,1.08
touch,1.03,1.35,-0.38,1.03,1.35,-0.38
train,1.98,2.08,0.37,1.98,2.08,0.37
transact_business_with,1.49,1.44,0.49,1.49,1.44,0.49
trap,-2.63,1.26,0.69,-2.63,1.26,0.69
treat,2.66,2.12,0.30,2.66,2.12,0.30
trick,-1.99,0.51,0.29,-1.99,0.51,0.29
trust,3.34,3.04,-0.06,3.34,3.04,-0.06
turn_to,1.91,1.14,-0.17,1.91,1.14,-0.17
underestimate,-1.80,-0.54,-0.47,-1.80,-0.54,-0.47
undermine,-2.24,-0.24,-0.21,-2.24,-0.24,-0.21
underpay,-2.80,0.30,-0.46,-2.80,0.30,-0.46
underrate,-1.86,0.13,-0.05,-1.86,0.13,-0.05
understand,3.19,2.79,-0.49,3.19,2.79,-0.49
undress,1.08,1.73,-0.25,1.08,1.73,-0.25
unfriend,-1.33,0.93,-0.26,-1.33,0.93,-0.26
unnerve,-1.37,1.39,0.47,-1.37,1.39,0.47
uplift,3.36,2.94,0.75,3.36,2.94,0.75
upset,-2.51,1.08,0.95,-2.51,1.08,0.95
upstage,-1.21,1.27,1.95,-1.21,1.27,1.95
urge,0.65,1.51,1.37,0.65,1.51,1.37
use,-2.66,0.14,-0.32,-2.66,0.14,-0.32
value,2.96,2.35,-0.31,2.96,2.35,-0.31
vex,-1.88,0.70,0.39,-1.88,0.70,0.39
victimize,-3.27,0.67,0.86,-3.27,0.67,0.86
visit,2.55,1.33,-0.02,2.55,1.33,-0.02
wait_on,0.65,-0.71,-1.79,0.65,-0.71,-1.79
walk_out_on,-2.35,1.08,0.74,-2.35,1.08,0.74
warn,2.28,1.97,1.24,2.28,1.97,1.24
wash,1.36,1.16,-0.30,1.36,1.16,-0.30
watch,0.20,0.54,-1.59,0.20,0.54,-1.59
wed,3.00,2.80,0.46,3.00,2.80,0.46
welcome,2.99,2.00,1.04,2.99,2.00,1.04
wheedle,-1.21,0.57,0.20,-1.21,0.57,0.20
whine_to,-1.94,-1.56,1.49,-1.94,-1.56,1.49
whip,-3.25,2.14,2.47,-3.25,2.14,2.47
whisper_to,0.41,0.08,-2.50,0.41,0.08,-2.50
wink_at,1.52,0.87,0.02,1.52,0.87,0.02
work,0.27,1.51,0.99,0.27,1.51,0.99
worship,0.01,0.41,0.37,0.01,0.41,0.37
wrestle_with,-0.12,1.21,2.36,-0.12,1.21,2.36
wrong,-2.92,0.69,0.50,-2.92,0.69,0.50
yell_at,-1.74,1.13,2.64,-1.74,1.13,2.64
yield_to,0.00,-0.79,-0.99,0.00,-0.79,-0.99
